//Card Title,Card ID,Card Value,Card Type,Card Badge,Sell Order Low,Last 10 Price,owned,packs
Negro League Star 2B Marvin Williams PhSt 1944,84567,96,2,,0,0,0,1
Snapshot 2B Jimmy Williams BLA 1901,83824,94,7,,0,0,0,1
Clubhouse - Negro League Star 2B Jesse Williams KCM 1945,84871,79,2,CS,0,0,0,0
Unsung Heroes RF Gus Williams SLA 1913,82893,68,8,,0,0,0,1
MLB 2026 Live SP Gavin Williams CLE,82454,84,1,,0,0,0,1
MLB 2026 Live CL Devin Williams NYM,84585,92,1,,0,0,0,1
Negro League Star LF Dee Williams KCRG 1910,84416,54,2,,0,0,0,1
Veteran Presence RF Cy Williams PHI 1927,82718,69,10,,0,0,0,1
Snapshot RP Charlie Williams SF 1974,83037,54,7,,0,0,0,1
Future Legend SS Carson Williams TB 2026,84635,87,6,,0,0,0,1
MLB 2026 Live SS Carson Williams TB,82522,65,1,,0,0,0,1
MLB 2026 Live SS Alika Williams PIT,81895,51,1,,0,0,0,1
Unsung Heroes SP Roy Wilkinson CWS 1920,82779,40,8,,0,0,0,1
Hall of Fame RP Hoyt Wilhelm CAL 1969,84054,92,10,,0,0,0,1
Negro League Star C Doc Wiley NYLG 1916,84525,82,2,,0,0,0,1
MLB 2026 Live SP Cole Wilcox SEA,84965,60,1,,0,0,0,1
All-Time Legend SP Bill Wight CWS Peak,84023,61,4,,0,0,0,1
Snapshot 2B Alan Wiggins SD 1984,83529,59,7,,0,0,0,1
MLB 2026 Live CF Joey Wiemer WSH,84926,50,1,,0,0,0,1
Snapshot SP Ed Whitson SD 1989,83109,64,7,,0,0,0,1
All-Time Legend 3B Pinky Whitney PHI Peak,84161,82,4,,0,0,0,1
MLB 2026 Live RP Garrett Whitlock BOS,82616,87,1,,0,0,0,1
Snapshot SP Earl Whitehill DET 1929,83066,62,7,,0,0,0,1
Snapshot SP John Whitehead CWS 1937,82956,47,7,,0,0,0,1
Negro League Star 2B Sol White CXG 1896,84461,71,2,,0,0,0,1
Snapshot CF Rondell White MON 1995,83662,70,7,,0,0,0,1
Historical All-Star 2B Frank White KC 1978,83943,66,5,,0,0,0,1
MLB 2026 Live RF Eli White ATL,82139,56,1,,0,0,0,1
Super Utility 3B Deacon White DTN 1888,83710,72,10,,0,0,0,1
Clubhouse - April Fools' Day SS Bill White LS2 1886,84708,48,7,CS,0,0,0,0
Clubhouse - April Fools' Day 1B Bill White PHI 1966,84714,74,8,CS,0,0,0,0
Rookie Sensation 2B Lou Whitaker DET 1978,84376,77,3,,0,0,0,1
MLB 2026 Live SP Zack Wheeler PHI,82068,96,1,,0,0,0,1
Negro League Star CF David Whatley HoGr 1941,84454,67,2,,0,0,0,1
MLB 2026 Live 2B JJ Wetherholt STL,85010,75,1,,0,0,0,1
FLF 2 - Future Legend 2B J.J. Wetherholt STL 2026,84633,96,6,,0,0,0,1
Snapshot RF Wally Westlake PIT 1949,83646,67,7,,0,0,0,1
MLB 2026 Live 3B Jordan Westburg BAL,82631,75,1,,0,0,0,1
Historical All-Star CF Max West BSN 1940,83930,61,5,,0,0,0,1
Snapshot 1B Vic Wertz CLE 1955,83550,60,7,,0,0,0,1
Veteran Presence RF Jayson Werth WAS 2013,84195,96,10,,0,0,0,1
Snapshot 3B Billy Werber PHA 1938,83690,70,7,,0,0,0,1
MLB 2026 Live SP Joey Wentz ATL,82159,69,1,,0,0,0,1
PTWC 4th Place RP Turk Wendell CHC 1996,83130,99,7,,0,0,0,0
Snapshot SP Chris Welsh CIN 1986,83001,52,7,,0,0,0,1
Negro League Star SP Roy Welmaker HoSt 1953,84425,68,2,,0,0,0,1
Negro League Star SS Willie Wells NeEa 1938,84542,91,2,,0,0,0,1
MLB 2026 Live SP Tyler Wells BAL,82648,65,1,,0,0,0,1
Unsung Heroes SP Ed Wells NYY 1930,82785,49,8,,0,0,0,1
Live Collection Reward - Veteran Presence SP David Wells TOR 2000,84082,99,10,ME,0,0,0,0
MLB 2026 Live C Austin Wells NYY,82570,71,1,,0,0,0,1
Snapshot CF Curt Welch SL4 1886,83609,73,7,,0,0,0,1
Veteran Presence SP Bob Welch ATH 1993,82939,42,10,,0,0,0,1
MLB 2026 Live RP Greg Weissert BOS,82596,61,1,,0,0,0,1
Snapshot SP George Weidman DTN 1882,83294,85,7,,0,0,0,1
Unsung Heroes SP Herm Wehmeier PHI 1954,82797,52,8,,0,0,0,1
Snapshot 2B Rickie Weeks Jr. MIL 2014,83698,68,7,,0,0,0,1
Limited Edition/42 C Lenny Webster BAL 1998,84858,49,8,,0,0,0,0
MLB 2026 Live SP Logan Webb SF,81732,96,1,,0,0,0,1
MLB 2026 Live RP Jacob Webb CHC,81999,66,1,,0,0,0,1
Snapshot SP Sam Weaver LS2 1883,82993,46,7,,0,0,0,1
MLB 2026 Live RP Luke Weaver NYM,82093,74,1,,0,0,0,1
Snapshot SP Jim Weaver CHC 1934,83193,69,7,,0,0,0,1
All-Time Legend C Farmer Weaver LS3 Peak,84175,78,4,,0,0,0,1
Snapshot 3B Buck Weaver CWS 1920,83556,57,7,,0,0,0,1
MLB 2026 Live SP Ryan Weathers NYY,82584,71,1,,0,0,0,1
Snapshot RP Eddie Watt BAL 1967,83237,72,7,,0,0,0,1
Unsung Heroes SP Mule Watson BSN 1922,82782,47,8,,0,0,0,1
Snapshot RF George Watkins STL 1932,83703,74,7,,0,0,0,1
MLB 2026 Live LF Drew Waters KC,82359,56,1,,0,0,0,1
Snapshot SS U L Washington KC 1982,83587,64,7,,0,0,0,1
Negro League Star 1B Johnny Washington PiCr 1936,84455,70,2,,0,0,0,1
Historical All-Star LF Claudell Washington ATH 1975,83925,59,5,,0,0,0,1
Snapshot SP Jarrod Washburn SEA 2008,82985,50,7,,0,0,0,1
Happy Easter SS Rabbit Warstler BSN Peak,84143,72,4,,0,0,0,1
MLB 2026 Live SP Will Warren NYY,82563,68,1,,0,0,0,1
Snapshot SP Lon Warneke STL 1940,83183,69,7,,0,0,0,1
Snapshot LF Taylor Ward LAA 2023,83468,58,7,,0,0,0,1
MLB 2026 Live LF Taylor Ward BAL,82635,78,1,,0,0,0,1
Snapshot RP Duane Ward TOR 1992,83219,72,7,,0,0,0,1
Clubhouse - World Baseball Classic SP Chien-Ming Wang TPE 2013,82765,68,8,CS,0,0,0,0
Snapshot CF Lloyd Waner PIT 1935,83390,50,7,,0,0,0,1
Unsung Heroes 2B Bill Wambsganss CLE 1923,82875,57,8,,0,0,0,1
MLB 2026 Live RP Andrew Walters CLE,82445,60,1,,0,0,0,1
Rookie Sensation CF Jimmy Walsh PHA 1913,84331,51,3,,0,0,0,1
Snapshot SP Ed Walsh CWS 1906,83297,87,7,,0,0,0,1
MLB 2026 Live SS Taylor Walls TB,82530,61,1,,0,0,0,1
All-Time Legend RF Lee Walls CHC Peak,84131,65,4,,0,0,0,1
MLB 2026 Live RF Matt Wallner MIN,82341,83,1,,0,0,0,1
Snapshot 3B Bobby Wallace CL4 1897,83734,78,7,,0,0,0,1
Rookie Sensation RP Stan Wall LAD 1976,84228,47,3,,0,0,0,1
MLB 2026 Live SP Taijuan Walker PHI,82064,52,1,,0,0,0,1
MLB 2026 Live CL Ryan Walker SF,81728,82,1,,0,0,0,1
MLB 2026 Live RF Jordan Walker STL,81868,64,1,,0,0,0,1
Historical All-Star RF Dixie Walker BRO 1947,83993,89,5,,0,0,0,1
MLB 2026 Live 1B Christian Walker HOU,82176,67,1,,0,0,0,1
MLB 2026 Live SP Matt Waldron SD,81740,63,1,,0,0,0,1
Snapshot RP Jordan Walden LAA 2012,83055,54,7,,0,0,0,1
Snapshot SP Rube Walberg PHA 1928,83293,85,7,,0,0,0,1
Snapshot SP Rick Waits CLE 1976,82943,45,7,,0,0,0,1
Historical All-Star 1B Eddie Waitkus PHI 1949,83932,52,5,,0,0,0,1
MLB 2026 Live 3B Will Wagner SD,81733,57,1,,0,0,0,1
Rookie Sensation RP Neil Wagner TOR 2013,84219,45,3,,0,0,0,1
Snapshot 2B Heinie Wagner BOS 1915,83371,50,7,,0,0,0,1
MLB 2026 Live 1B Eric Wagaman MIN,82325,60,1,,0,0,0,1
MLB 2026 Live 1B LaMonte Wade Jr. CWS,82467,62,1,,0,0,0,1
MLB 2026 Live SP Michael Wacha KC,82392,69,1,,0,0,0,1
Snapshot SP Pete Vuckovich STL 1978,83269,81,7,,0,0,0,1
Veteran Presence 1B Joey Votto CIN 2019,83538,61,10,,0,0,0,1
All-Time Legend SP Edinson Volquez CIN Peak,84028,64,4,,0,0,0,1
MLB 2026 Live SS Anthony Volpe NYY,82568,62,1,,0,0,0,1
MLB 2026 Live CL Victor Vodnik COL,81824,59,1,,0,0,0,1
MLB 2026 Live 2B Jorbit Vivas NYY,82556,54,1,,0,0,0,1
Snapshot 3B Jonathan Villar NYM 2021,83498,58,7,,0,0,0,1
MLB 2026 Live CF Matt Vierling DET,82404,67,1,,0,0,0,1
MLB 2026 Live 3B Mark Vientos NYM,82078,73,1,,0,0,0,1
Hardware Heroes RP Tom Vickery ML3 1891,82662,65,9,,0,0,0,1
MLB 2026 Live CL Will Vest DET,82418,81,1,,0,0,0,1
For #51 - Unsung Heroes RP Alex Vesia LAD 2024,84891,95,8,,0,0,0,1
MLB 2026 Live RP Alex Vesia LAD,81791,78,1,,0,0,0,1
All-Time Legend SS Tom Veryzer CLE Peak,84093,45,4,,0,0,0,1
Hardware Heroes 1B Mickey Vernon WS1 1953,82716,83,9,,0,0,0,1
MLB 2026 Live SP Justin Verlander DET,82421,65,1,,0,0,0,1
Veteran Presence SP Justin Verlander HOU 2022,82698,99,10,,0,0,0,1
Snapshot CF Alex Verdugo LAD 2019,83659,70,7,,0,0,0,1
Rookie Sensation RF Will Venable SD 2009,84351,59,3,,0,0,0,1
MLB 2026 Live LF Nelson Velazquez STL,81870,62,1,,0,0,0,1
Hardware Heroes SP Bob Veale PIT 1964,82678,89,9,,0,0,0,1
MLB 2026 Live 3B Luis Vazquez BAL,82636,50,1,,0,0,0,1
Limited Edition/42 1B Mo Vaughn BOS 1996,84851,90,5,,0,0,0,0
MLB 2026 Live 1B Andrew Vaughn MIL,81926,61,1,,0,0,0,1
MLB 2026 Live SP Randy Vasquez SD,81739,57,1,,0,0,0,1
MLB 2026 Live RP Mike Vasil CWS,82482,62,1,,0,0,0,1
Unsung Heroes CF Daulton Varsho ARI 2021,83393,63,8,,0,0,0,1
MLB 2026 Live CF Daulton Varsho TOR,82504,82,1,,0,0,0,1
MLB 2026 Live RP Louie Varland TOR,82511,80,1,,0,0,0,1
MLB 2026 Live 3B Miguel Vargas CWS,82471,73,1,,0,0,0,1
MLB 2026 Live RP Carlos Vargas SEA,82228,55,1,,0,0,0,1
Historical All-Star SP Johnny Vander Meer CIN 1942,84088,100,5,,0,0,0,1
Snapshot CF George Van Haltren BLN 1892,83799,92,7,,0,0,0,1
Snapshot C Dave Valle SEA 1989,83481,55,7,,0,0,0,1
MLB 2026 Live RF George Valera CLE,82434,54,1,,0,0,0,1
Snapshot RF Ellis Valentine MON 1980,83749,81,7,,0,0,0,1
Snapshot SS Jose Valentin CWS 2004,83572,64,7,,0,0,0,1
MLB 2026 Live SP Framber Valdez DET,82423,88,1,,0,0,0,1
MLB 2026 Live 1B Enmanuel Valdez PIT,81893,56,1,,0,0,0,1
MLB 2026 Live 3B Gio Urshela MIN,82334,65,1,,0,0,0,1
Live Collection Reward - Rookie Sensation SS Juan Uribe COL 2001,84334,66,3,ME,0,0,0,0
MLB 2026 Live RP Abner Uribe MIL,81942,78,1,,0,0,0,1
MLB 2026 Live 3B Ramon Urias STL,81874,68,1,,0,0,0,1
Snapshot CL Cecil Upshaw ATL 1971,83087,59,7,,0,0,0,1
Veteran Presence CL Koji Uehara TEX 2012,83328,100,10,,0,0,0,1
MLB 2026 Live RP Edwin Uceta TB,82525,78,1,,0,0,0,1
Snapshot SP Lefty Tyler BSN 1913,83093,61,7,,0,0,0,1
Unsung Heroes SP Wayne Twitchell PHI 1972,82805,60,8,,0,0,0,1
MLB 2026 Live SS Trea Turner PHI,82056,82,1,,0,0,0,1
World Baseball Classic SS Trea Turner USA 2023,82923,98,7,,0,0,0,1
Hardware Heroes 2B Brice Turang MIL 2024,82852,55,9,,0,0,0,1
MLB 2026 Live 2B Brice Turang MIL,81931,90,1,,0,0,0,1
Rookie Sensation SS Troy Tulowitzki COL 2007,84388,94,3,,0,0,0,1
MLB 2026 Live RF Kyle Tucker LAD,81781,94,1,,0,0,0,1
Snapshot LF Kyle Tucker HOU 2020,83834,82,7,,0,0,0,1
Snapshot SP Virgil Trucks DET 1948,83265,80,7,,0,0,0,1
MLB 2026 Live RF Mike Trout LAA,82310,94,1,,0,0,0,1
Baseball Reference 1 CF Mike Trout LAA 2024,84793,51,7,,0,0,0,1
Snapshot SP Dizzy Trout DET 1942,83028,55,7,,0,0,0,1
Negro League Star C Quincy Trouppe ClBu 1945,84554,84,2,,0,0,0,1
MLB 2026 Live RP Lou Trivino PHI,82038,56,1,,0,0,0,1
MLB 2026 Live SS Jared Triolo PIT,81900,77,1,,0,0,0,1
MLB 2026 Live C Jose Trevino CIN,81963,53,1,,0,0,0,1
Rookie Sensation SS Tom Tresh NYY 1962,84377,77,3,,0,0,0,1
Snapshot C Mike Tresh CWS 1940,83436,50,7,,0,0,0,1
Negro League Star SP Ted Trent CAG 1936,84429,69,2,,0,0,0,1
MLB 2026 Live RP Blake Treinen LAD,81790,73,1,,0,0,0,1
MLB 2026 Live CF Taylor Trammell HOU,82171,69,1,,0,0,0,1
Rookie Sensation SP Happy Townsend PHI 1901,84251,63,3,,0,0,0,1
MLB 2026 Live SS Ezequiel Tovar COL,81820,80,1,,0,0,0,1
Snapshot RP Salomon Torres PIT 2005,83050,56,7,,0,0,0,1
MLB 2026 Live 2B Gleyber Torres DET,82411,83,1,,0,0,0,1
MLB 2026 Live C Luis Torrens NYM,82079,68,1,,0,0,0,1
MLB 2026 Live 1B Abraham Toro KC,82361,58,1,,0,0,0,1
MLB 2026 Live 1B Spencer Torkelson DET,82405,77,1,,0,0,0,1
Snapshot 1B Earl Torgeson DET 1956,83730,72,7,,0,0,0,1
Snapshot SS Specs Toporcer STL 1925,83562,62,7,,0,0,0,1
MLB 2026 Live RP Justin Topa MIN,82346,64,1,,0,0,0,1
Snapshot SP Josh Tomlin CLE 2011,83118,63,7,,0,0,0,1
Snapshot RP Dave Tomlin SD 1977,83236,74,7,,0,0,0,1
MLB 2026 Live SP Payton Tolle BOS,82612,73,1,,0,0,0,1
Snapshot SP Freddie Toliver MIN 1988,82978,49,7,,0,0,0,1
MLB 2026 Live CF Tyler Tolbert KC,82363,47,1,,0,0,0,1
MLB 2026 Live 1B Michael Toglia CIN,81950,67,1,,0,0,0,1
Snapshot RP Jim Todd ATH 1975,83189,68,7,,0,0,0,1
Snapshot SP Jim Tobin BSN 1945,82965,52,7,,0,0,0,1
MLB 2026 Live RP Jesus Tinoco MIA,82121,62,1,,0,0,0,1
Negro League Star SP Luis Tiant NYC 1939,84523,93,2,,0,0,0,1
Snapshot SP Luis Tiant BOS 1973,83213,73,7,,0,0,0,1
Snapshot SP Sloppy Thurston BRO 1932,82991,50,7,,0,0,0,1
Negro League Star RF Bob Thurman PHG 1947,84508,80,2,,0,0,0,1
Historical All-Star 1B Andre Thornton CLE 1984,84373,89,5,,0,0,0,1
All-Time Legend SP John Thomson COL Peak,84020,57,4,,0,0,0,1
Snapshot LF Bobby Thomson ML1 1956,83434,49,7,,0,0,0,1
Negro League Star CF Sandy Thompson BBB 1927,84452,67,2,,0,0,0,1
Negro League Star SP Sam Thompson PhSt 1936,84447,73,2,,0,0,0,1
MLB 2026 Live RP Ryan Thompson AZ,81856,64,1,,0,0,0,1
MLB 2026 Live RP Keegan Thompson COL,81823,55,1,,0,0,0,1
Veteran Presence 1B Jim Thome CWS 2008,83640,79,10,,0,0,0,1
Clubhouse - Negro League Star RF Walter Thomas KCM 1945,84872,63,2,CS,0,0,0,0
Rookie Sensation SP Tommy Thomas CWS 1926,84284,75,3,,0,0,0,1
MLB 2026 Live CF Lane Thomas KC,82369,66,1,,0,0,0,1
Negro League Star CF Jules Thomas NYLG 1917,84552,86,2,,0,0,0,1
Clubhouse - April Fools' Day LF Frank Thomas NYM 1962,84691,63,8,CS,0,0,0,0
Hall of Fame 1B Frank Thomas CWS 1992,84199,100,7,,0,0,0,1
Clubhouse - April Fools' Day DH Frank Thomas ATH 2006,84690,71,10,CS,0,0,0,0
MLB 2026 Live RF Colby Thomas ATH,82265,58,1,,0,0,0,1
Negro League Star CF Clint Thomas PHG 1927,84536,88,2,,0,0,0,1
MLB 2026 Live CF Alek Thomas AZ,81842,54,1,,0,0,0,1
MLB 2026 Live RP Caleb Thielbar CHC,82000,74,1,,0,0,0,1
MLB 2026 Live C Matt Thaiss BOS,82589,64,1,,0,0,0,1
Negro League Star 2B Recurvon Teran CSE 1923,84407,50,2,,0,0,0,1
MLB 2026 Live CF Bryce Teodosio LAA,82290,44,1,,0,0,0,1
Negro League Star C William Tenny KCG 1909,84400,50,2,,0,0,0,1
Veteran Presence 1B Fred Tenney NY1 1908,82710,64,10,,0,0,0,1
MLB 2026 Live 3B Jose Tena WSH,82019,53,1,,0,0,0,1
Historical All-Star 2B Johnny Temple CLE 1961,83929,57,5,,0,0,0,1
Snapshot 1B Rowdy Tellez MIL 2022,83471,52,7,,0,0,0,1
Unsung Heroes RP Kent Tekulve PIT 1979,84085,99,8,,0,0,0,1
World Baseball Classic SP Julio Teheran COL 2017,84621,79,7,,0,0,0,1
MLB 2026 Live C Kyle Teel CWS,82476,70,1,,0,0,0,1
Snapshot 3B Mark Teahen KC 2006,83573,65,7,,0,0,0,1
Unsung Heroes C Zack Taylor BRO 1923,82825,40,8,,0,0,0,1
MLB 2026 Live CF Tyrone Taylor NYM,82076,53,1,,0,0,0,1
Rookie Sensation C Sammy Taylor CHC 1958,84317,50,3,,0,0,0,1
All-Time Legend SP Jack Taylor CHC Peak,84046,72,4,,0,0,0,1
MLB 2026 Live RP Grant Taylor CWS,82487,90,1,,0,0,0,1
MLB 2026 Live LF Chris Taylor LAA,82298,57,1,,0,0,0,1
MLB 2026 Live 2B Tim Tawa AZ,81834,53,1,,0,0,0,1
MLB 2026 Live CF Leody Taveras BAL,82639,73,1,,0,0,0,1
Snapshot C Ed Taubensee CIN 1999,83615,65,7,,0,0,0,1
MLB 2026 Live RF Fernando Tatis Jr. SD,81753,97,1,,0,0,0,1
Snapshot C Bennie Tate WS1 1929,83360,48,7,,0,0,0,1
Snapshot RP Brian Tallet TOR 2008,83116,60,7,,0,0,0,1
MLB 2026 Live SP Jameson Taillon CHC,82006,68,1,,0,0,0,1
Clubhouse - Negro League Star C Earl Taborn KCM 1948,84865,71,2,CS,0,0,0,0
Super Utility C Blake Swihart BOS 2018,84329,45,8,,0,0,0,1
Snapshot C Bob Swift DET 1945,83335,43,7,,0,0,0,1
Snapshot SP Bill Swift PIT 1933,83241,75,7,,0,0,0,1
MLB 2026 Live SS Trey Sweeney DET,82394,49,1,,0,0,0,1
Launch Deck Missions - Snapshot SP Charlie Sweeney SL5 1884,83329,100,7,,0,0,0,0
Negro League Star 2B George Sweatt KCM 1924,84468,68,2,,0,0,0,1
MLB 2026 Live SS Dansby Swanson CHC,81994,78,1,,0,0,0,1
MLB 2026 Live RP Matt Svanson STL,81867,68,1,,0,0,0,1
MLB 2026 Live RF Seiya Suzuki CHC,81992,92,1,,0,0,0,1
MLB 2026 Live CF Jack Suwinski LAD,81778,59,1,,0,0,0,1
Hardware Heroes 3B Ezra Sutton BSN 1884,82750,91,9,,0,0,0,1
Negro League Star 1B Mule Suttles NeEa 1939,84559,100,2,,0,0,0,1
Hardware Heroes CL Bruce Sutter CHC 1979,82699,100,9,,0,0,0,1
MLB 2026 Live RP Brent Suter LAA,82311,54,1,,0,0,0,1
MLB 2026 Live RP Cole Sulser TB,82539,59,1,,0,0,0,1
Unsung Heroes C Clyde Sukeforth CIN 1931,82864,51,8,,0,0,0,1
Celebrating 42 - Snapshot C Clyde Sukeforth CIN 1929,85017,75,7,,0,0,0,1
Snapshot C Joe Sugden SLA 1904,83525,60,7,,0,0,0,1
MLB 2026 Live SP Tomoyuki Sugano COL,81828,57,1,,0,0,0,1
MLB 2026 Live CL Robert Suarez ATL,82156,84,1,,0,0,0,1
MLB 2026 Live SP Ranger Suarez BOS,82620,84,1,,0,0,0,1
MLB 2026 Live SP Jose Suarez ATL,82150,70,1,,0,0,0,1
MLB 2026 Live 3B Eugenio Suarez CIN,81966,83,1,,0,0,0,1
Snapshot SP Tom Sturdivant NYY 1956,83277,81,7,,0,0,0,1
MLB 2026 Live C Garrett Stubbs PHI,82046,46,1,,0,0,0,1
MLB 2026 Live RP Kade Strowd AZ,81835,55,1,,0,0,0,1
Negro League Star SS Ted Strong KCM 1946,84564,92,2,,0,0,0,1
